input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage_raw,coverage_cal
raw,left,1.0,0.1,-0.3259,0.1093,0.1590,-0.0192,0.833,0.948
raw,left,1.0,0.2,0.1180,0.1770,0.2241,0.1731,0.833,0.948
raw,left,1.0,0.3,0.2654,0.2421,0.2798,0.2625,0.833,0.948
raw,left,1.0,0.4,0.3334,0.3019,0.3152,0.3168,0.833,0.948
raw,left,1.0,0.5,0.3843,0.3599,0.3490,0.3644,0.833,0.948
raw,left,1.0,0.6,0.4275,0.4042,0.3792,0.4036,0.833,0.948
raw,left,1.0,0.7,0.4612,0.4368,0.4115,0.4365,0.833,0.948
raw,left,1.0,0.8,0.4878,0.4603,0.4401,0.4627,0.833,0.948
raw,left,1.0,0.9,0.5066,0.4780,0.4662,0.4836,0.833,0.948
raw,left,1.0,1.0,0.5185,0.4862,0.4849,0.4966,0.833,0.948
raw,left,2.0,0.1,-0.2418,0.1160,0.1814,0.0186,0.809,0.944
raw,left,2.0,0.2,0.1243,0.1743,0.2324,0.1770,0.809,0.944
raw,left,2.0,0.3,0.2503,0.2286,0.2870,0.2553,0.809,0.944
raw,left,2.0,0.4,0.3120,0.2801,0.3175,0.3032,0.809,0.944
raw,left,2.0,0.5,0.3645,0.3302,0.3438,0.3462,0.809,0.944
raw,left,2.0,0.6,0.4120,0.3761,0.3686,0.3856,0.809,0.944
raw,left,2.0,0.7,0.4472,0.4097,0.4012,0.4194,0.809,0.944
raw,left,2.0,0.8,0.4754,0.4377,0.4302,0.4478,0.809,0.944
raw,left,2.0,0.9,0.4922,0.4575,0.4566,0.4688,0.809,0.944
raw,left,2.0,1.0,0.5034,0.4665,0.4705,0.4801,0.809,0.944
raw,left,3.0,0.1,-0.2896,0.1131,0.1761,-0.0001,0.801,0.949
raw,left,3.0,0.2,0.0713,0.1509,0.2094,0.1439,0.801,0.949
raw,left,3.0,0.3,0.1841,0.2014,0.2434,0.2096,0.801,0.949
raw,left,3.0,0.4,0.2454,0.2507,0.2580,0.2514,0.801,0.949
raw,left,3.0,0.5,0.3078,0.3039,0.2839,0.2985,0.801,0.949
raw,left,3.0,0.6,0.3660,0.3516,0.3191,0.3456,0.801,0.949
raw,left,3.0,0.7,0.4170,0.3912,0.3657,0.3913,0.801,0.949
raw,left,3.0,0.8,0.4621,0.4276,0.4085,0.4328,0.801,0.949
raw,left,3.0,0.9,0.4920,0.4505,0.4420,0.4615,0.801,0.949
raw,left,3.0,1.0,0.5094,0.4604,0.4633,0.4777,0.801,0.949
raw,left,5.0,0.1,-0.3861,0.0641,0.0962,-0.0753,0.804,0.952
raw,left,5.0,0.2,0.0126,0.1005,0.1326,0.0819,0.804,0.952
raw,left,5.0,0.3,0.1378,0.1495,0.1743,0.1539,0.804,0.952
raw,left,5.0,0.4,0.2025,0.2004,0.2023,0.2017,0.804,0.952
raw,left,5.0,0.5,0.2722,0.2579,0.2367,0.2556,0.804,0.952
raw,left,5.0,0.6,0.3411,0.3128,0.2734,0.3091,0.804,0.952
raw,left,5.0,0.7,0.4019,0.3621,0.3209,0.3616,0.804,0.952
raw,left,5.0,0.8,0.4554,0.4077,0.3714,0.4115,0.804,0.952
raw,left,5.0,0.9,0.4919,0.4383,0.4142,0.4481,0.804,0.952
raw,left,5.0,1.0,0.5128,0.4529,0.4434,0.4697,0.804,0.952
raw,left,10.0,0.1,-0.3934,-0.0424,0.0609,-0.1249,0.782,0.942
raw,left,10.0,0.2,-0.0385,0.0275,0.0902,0.0264,0.782,0.942
raw,left,10.0,0.3,0.0913,0.0786,0.1224,0.0974,0.782,0.942
raw,left,10.0,0.4,0.1644,0.1206,0.1515,0.1455,0.782,0.942
raw,left,10.0,0.5,0.2383,0.1725,0.1967,0.2025,0.782,0.942
raw,left,10.0,0.6,0.3125,0.2342,0.2482,0.2650,0.782,0.942
raw,left,10.0,0.7,0.3815,0.2971,0.3041,0.3276,0.782,0.942
raw,left,10.0,0.8,0.4367,0.3574,0.3592,0.3844,0.782,0.942
raw,left,10.0,0.9,0.4721,0.3962,0.4023,0.4235,0.782,0.942
raw,left,10.0,1.0,0.4894,0.4133,0.4357,0.4462,0.782,0.942
raw,right,1.0,0.1,0.1214,0.2021,0.2600,0.1945,0.836,0.942
raw,right,1.0,0.2,0.2306,0.2952,0.3202,0.2820,0.836,0.942
raw,right,1.0,0.3,0.2946,0.3878,0.3625,0.3483,0.836,0.942
raw,right,1.0,0.4,0.3476,0.4574,0.3841,0.3964,0.836,0.942
raw,right,1.0,0.5,0.4003,0.5104,0.4023,0.4377,0.836,0.942
raw,right,1.0,0.6,0.4371,0.5425,0.4135,0.4644,0.836,0.942
raw,right,1.0,0.7,0.4664,0.5615,0.4246,0.4842,0.836,0.942
raw,right,1.0,0.8,0.4844,0.5632,0.4347,0.4941,0.836,0.942
raw,right,1.0,0.9,0.4954,0.5549,0.4511,0.5005,0.836,0.942
raw,right,1.0,1.0,0.4993,0.5387,0.4657,0.5012,0.836,0.942
raw,right,2.0,0.1,0.0696,0.1832,0.2416,0.1648,0.808,0.940
raw,right,2.0,0.2,0.1885,0.2775,0.3189,0.2616,0.808,0.940
raw,right,2.0,0.3,0.2435,0.3721,0.3610,0.3255,0.808,0.940
raw,right,2.0,0.4,0.2876,0.4456,0.3786,0.3706,0.808,0.940
raw,right,2.0,0.5,0.3399,0.5030,0.3962,0.4130,0.808,0.940
raw,right,2.0,0.6,0.3851,0.5304,0.4070,0.4408,0.808,0.940
