input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage_raw,coverage_cal
raw,left,1.0,0.1,-0.1511,0.2802,0.2977,0.1423,0.945,0.945
raw,left,1.0,0.2,0.2162,0.2960,0.3015,0.2713,0.945,0.945
raw,left,1.0,0.3,0.3669,0.3727,0.3701,0.3699,0.945,0.945
raw,left,1.0,0.4,0.4494,0.4366,0.4283,0.4381,0.945,0.945
raw,left,1.0,0.5,0.5065,0.4931,0.4780,0.4925,0.945,0.945
raw,left,1.0,0.6,0.5505,0.5320,0.5145,0.5323,0.945,0.945
raw,left,1.0,0.7,0.5782,0.5584,0.5459,0.5608,0.945,0.945
raw,left,1.0,0.8,0.6012,0.5745,0.5683,0.5813,0.945,0.945
raw,left,1.0,0.9,0.6126,0.5853,0.5844,0.5941,0.945,0.945
raw,left,1.0,1.0,0.6200,0.5864,0.5913,0.5992,0.945,0.945
raw,left,2.0,0.1,-0.1735,0.2450,0.2806,0.1174,0.944,0.947
raw,left,2.0,0.2,0.2083,0.2843,0.3022,0.2649,0.944,0.947
raw,left,2.0,0.3,0.3636,0.3639,0.3748,0.3674,0.944,0.947
raw,left,2.0,0.4,0.4486,0.4298,0.4356,0.4380,0.944,0.947
raw,left,2.0,0.5,0.5080,0.4881,0.4867,0.4943,0.944,0.947
raw,left,2.0,0.6,0.5529,0.5294,0.5230,0.5351,0.944,0.947
raw,left,2.0,0.7,0.5815,0.5575,0.5541,0.5644,0.944,0.947
raw,left,2.0,0.8,0.6045,0.5742,0.5757,0.5848,0.944,0.947
raw,left,2.0,0.9,0.6156,0.5854,0.5915,0.5975,0.944,0.947
raw,left,2.0,1.0,0.6225,0.5861,0.5976,0.6021,0.944,0.947
raw,left,3.0,0.1,-0.1684,0.2821,0.2809,0.1316,0.942,0.945
raw,left,3.0,0.2,0.2227,0.2951,0.3001,0.2726,0.942,0.945
raw,left,3.0,0.3,0.3704,0.3713,0.3723,0.3714,0.942,0.945
raw,left,3.0,0.4,0.4510,0.4348,0.4299,0.4386,0.942,0.945
raw,left,3.0,0.5,0.5087,0.4902,0.4802,0.4930,0.942,0.945
raw,left,3.0,0.6,0.5533,0.5293,0.5168,0.5331,0.942,0.945
raw,left,3.0,0.7,0.5815,0.5560,0.5489,0.5621,0.942,0.945
raw,left,3.0,0.8,0.6042,0.5736,0.5720,0.5833,0.942,0.945
raw,left,3.0,0.9,0.6158,0.5848,0.5880,0.5962,0.942,0.945
raw,left,3.0,1.0,0.6233,0.5858,0.5962,0.6018,0.942,0.945
raw,left,5.0,0.1,-0.1986,0.2573,0.2755,0.1114,0.942,0.945
raw,left,5.0,0.2,0.2074,0.2917,0.2949,0.2647,0.942,0.945
raw,left,5.0,0.3,0.3633,0.3709,0.3656,0.3666,0.942,0.945
raw,left,5.0,0.4,0.4464,0.4355,0.4266,0.4362,0.942,0.945
raw,left,5.0,0.5,0.5036,0.4909,0.4764,0.4903,0.942,0.945
raw,left,5.0,0.6,0.5487,0.5306,0.5145,0.5313,0.942,0.945
raw,left,5.0,0.7,0.5778,0.5564,0.5442,0.5595,0.942,0.945
raw,left,5.0,0.8,0.6021,0.5742,0.5660,0.5808,0.942,0.945
raw,left,5.0,0.9,0.6136,0.5843,0.5809,0.5930,0.942,0.945
raw,left,5.0,1.0,0.6209,0.5855,0.5883,0.5982,0.942,0.945
raw,left,10.0,0.1,-0.2031,0.2489,0.2725,0.1061,0.942,0.942
raw,left,10.0,0.2,0.1978,0.2836,0.3022,0.2612,0.942,0.942
raw,left,10.0,0.3,0.3557,0.3583,0.3744,0.3628,0.942,0.942
raw,left,10.0,0.4,0.4395,0.4228,0.4321,0.4315,0.942,0.942
