input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage
raw,left,1.0,0.1,-0.2300,0.1481,0.1881,0.0354,0.850
raw,left,1.0,0.2,0.1409,0.2075,0.2320,0.1934,0.850
raw,left,1.0,0.3,0.2738,0.2760,0.2938,0.2812,0.850
raw,left,1.0,0.4,0.3425,0.3302,0.3404,0.3377,0.850
raw,left,1.0,0.5,0.3961,0.3829,0.3808,0.3866,0.850
raw,left,1.0,0.6,0.4430,0.4266,0.4160,0.4285,0.850
raw,left,1.0,0.7,0.4784,0.4593,0.4486,0.4621,0.850
raw,left,1.0,0.8,0.5092,0.4885,0.4761,0.4913,0.850
raw,left,1.0,0.9,0.5299,0.5064,0.4973,0.5112,0.850
raw,left,1.0,1.0,0.5439,0.5102,0.5090,0.5211,0.850
raw,left,2.0,0.1,-0.2585,0.1035,0.1918,0.0123,0.826
raw,left,2.0,0.2,0.1108,0.1795,0.2068,0.1657,0.826
raw,left,2.0,0.3,0.2383,0.2523,0.2484,0.2463,0.826
raw,left,2.0,0.4,0.3041,0.3097,0.2774,0.2971,0.826
raw,left,2.0,0.5,0.3597,0.3636,0.3164,0.3466,0.826
raw,left,2.0,0.6,0.4109,0.4066,0.3585,0.3920,0.826
raw,left,2.0,0.7,0.4533,0.4378,0.4060,0.4324,0.826
raw,left,2.0,0.8,0.4870,0.4617,0.4450,0.4646,0.826
raw,left,2.0,0.9,0.5084,0.4783,0.4759,0.4875,0.826
raw,left,2.0,1.0,0.5181,0.4840,0.4879,0.4966,0.826
raw,left,3.0,0.1,-0.3090,0.0985,0.1326,-0.0260,0.819
raw,left,3.0,0.2,0.1105,0.1747,0.2046,0.1633,0.819
raw,left,3.0,0.3,0.2359,0.2356,0.2521,0.2412,0.819
raw,left,3.0,0.4,0.2896,0.2807,0.2854,0.2852,0.819
raw,left,3.0,0.5,0.3385,0.3235,0.3153,0.3258,0.819
raw,left,3.0,0.6,0.3899,0.3629,0.3444,0.3657,0.819
raw,left,3.0,0.7,0.4362,0.4022,0.3842,0.4075,0.819
raw,left,3.0,0.8,0.4779,0.4363,0.4231,0.4458,0.819
raw,left,3.0,0.9,0.5054,0.4602,0.4536,0.4731,0.819
raw,left,3.0,1.0,0.5244,0.4731,0.4753,0.4909,0.819
raw,left,5.0,0.1,-0.3045,0.1036,0.1412,-0.0199,0.806
raw,left,5.0,0.2,0.0361,0.1336,0.1898,0.1198,0.806
raw,left,5.0,0.3,0.1369,0.1747,0.2343,0.1820,0.806
raw,left,5.0,0.4,0.2063,0.2204,0.2693,0.2320,0.806
raw,left,5.0,0.5,0.3010,0.2858,0.3142,0.3003,0.806
raw,left,5.0,0.6,0.3897,0.3578,0.3584,0.3686,0.806
raw,left,5.0,0.7,0.4488,0.4101,0.4015,0.4201,0.806
raw,left,5.0,0.8,0.4891,0.4471,0.4391,0.4584,0.806
raw,left,5.0,0.9,0.5092,0.4683,0.4698,0.4824,0.806
raw,left,5.0,1.0,0.5193,0.4722,0.4849,0.4922,0.806
raw,left,10.0,0.1,-0.3472,0.0260,0.1246,-0.0656,0.765
raw,left,10.0,0.2,-0.0316,0.0690,0.1391,0.0588,0.765
raw,left,10.0,0.3,0.0723,0.1091,0.1567,0.1127,0.765
raw,left,10.0,0.4,0.1451,0.1549,0.1636,0.1545,0.765
raw,left,10.0,0.5,0.2384,0.2254,0.1948,0.2196,0.765
raw,left,10.0,0.6,0.3300,0.2996,0.2488,0.2928,0.765
raw,left,10.0,0.7,0.4018,0.3602,0.3110,0.3577,0.765
raw,left,10.0,0.8,0.4555,0.4053,0.3709,0.4106,0.765
raw,left,10.0,0.9,0.4893,0.4303,0.4179,0.4458,0.765
raw,left,10.0,1.0,0.5073,0.4400,0.4539,0.4670,0.765
raw,right,1.0,0.1,0.0632,0.2159,0.1599,0.1464,0.847
raw,right,1.0,0.2,0.2142,0.3074,0.2888,0.2701,0.847
raw,right,1.0,0.3,0.2888,0.4031,0.3487,0.3469,0.847
raw,right,1.0,0.4,0.3418,0.4704,0.3783,0.3969,0.847
raw,right,1.0,0.5,0.3873,0.5231,0.4016,0.4374,0.847
raw,right,1.0,0.6,0.4202,0.5527,0.4147,0.4625,0.847
raw,right,1.0,0.7,0.4541,0.5681,0.4237,0.4819,0.847
raw,right,1.0,0.8,0.4796,0.5657,0.4345,0.4933,0.847
raw,right,1.0,0.9,0.4954,0.5577,0.4514,0.5015,0.847
raw,right,1.0,1.0,0.5028,0.5453,0.4687,0.5056,0.847
raw,right,2.0,0.1,0.1347,0.2270,0.2308,0.1975,0.836
raw,right,2.0,0.2,0.2342,0.3035,0.3023,0.2800,0.836
raw,right,2.0,0.3,0.2769,0.3915,0.3518,0.3401,0.836
raw,right,2.0,0.4,0.3199,0.4670,0.3741,0.3870,0.836
raw,right,2.0,0.5,0.3706,0.5278,0.3996,0.4327,0.836
raw,right,2.0,0.6,0.4167,0.5587,0.4097,0.4617,0.836
raw,right,2.0,0.7,0.4541,0.5693,0.4238,0.4824,0.836
raw,right,2.0,0.8,0.4791,0.5673,0.4427,0.4964,0.836
raw,right,2.0,0.9,0.4950,0.5565,0.4610,0.5042,0.836
raw,right,2.0,1.0,0.5019,0.5441,0.4757,0.5072,0.836
raw,right,3.0,0.1,0.1223,0.1960,0.2574,0.1919,0.819
raw,right,3.0,0.2,0.2102,0.2800,0.3190,0.2697,0.819
raw,right,3.0,0.3,0.2482,0.3817,0.3620,0.3306,0.819
raw,right,3.0,0.4,0.2858,0.4579,0.3726,0.3721,0.819
raw,right,3.0,0.5,0.3368,0.5171,0.3871,0.4137,0.819
raw,right,3.0,0.6,0.3891,0.5508,0.4032,0.4477,0.819
raw,right,3.0,0.7,0.4340,0.5700,0.4190,0.4743,0.819
raw,right,3.0,0.8,0.4669,0.5726,0.4366,0.4920,0.819
raw,right,3.0,0.9,0.4870,0.5612,0.4548,0.5010,0.819
raw,right,3.0,1.0,0.4919,0.5419,0.4672,0.5003,0.819
