encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
aggregate,3.0,0.1,-24.9462,-0.3693,-0.2083,-0.0919,0.0635,0.0478,-4.2507,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
aggregate,3.0,0.2,-8.4918,-0.0697,0.0266,0.0800,0.1132,0.1387,-1.3672,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
aggregate,3.0,0.3,-5.1604,0.0043,0.0753,0.1004,0.1536,0.1675,-0.7766,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
aggregate,3.0,0.4,-3.6893,0.0422,0.0951,0.1071,0.1841,0.1812,-0.5133,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
aggregate,3.0,0.5,-2.8217,0.0669,0.1080,0.1149,0.2069,0.1878,-0.3562,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
aggregate,3.0,0.6,-2.2499,0.0847,0.1191,0.1228,0.2241,0.1922,-0.2512,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
aggregate,3.0,0.7,-1.8540,0.0965,0.1302,0.1289,0.2372,0.1971,-0.1773,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
aggregate,3.0,0.8,-1.5617,0.1053,0.1388,0.1357,0.2463,0.2020,-0.1223,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
aggregate,3.0,0.9,-1.3282,0.1127,0.1436,0.1439,0.2533,0.2072,-0.0779,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
aggregate,3.0,1.0,-1.1376,0.1186,0.1461,0.1527,0.2597,0.2105,-0.0417,0.942,0.947,2.7943,2.5383,2.6292,2.6554,2.4807,2.4784,0.8839
