encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
aggregate,1,0.1,-0.2172,-0.3936,-0.2910,-0.0776,-0.0718,-0.2722,-0.2206,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,1,0.2,0.0918,-0.0712,-0.0594,0.0616,0.0990,0.0239,0.0243,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,1,0.3,0.1390,-0.0035,-0.0247,0.0807,0.1640,0.0714,0.0712,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,1,0.4,0.1490,0.0266,-0.0167,0.0891,0.2063,0.0806,0.0892,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,1,0.5,0.1520,0.0439,-0.0130,0.0954,0.2322,0.0765,0.0978,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,1,0.6,0.1529,0.0541,-0.0078,0.0998,0.2441,0.0647,0.1013,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,1,0.7,0.1539,0.0593,0.0006,0.1014,0.2457,0.0494,0.1017,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,1,0.8,0.1572,0.0624,0.0111,0.1022,0.2421,0.0371,0.1020,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,1,0.9,0.1610,0.0651,0.0223,0.1034,0.2372,0.0329,0.1036,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,1,1.0,0.1644,0.0663,0.0320,0.1053,0.2302,0.0349,0.1055,0.941,0.947,2.6843,2.6144,2.7766,2.6250,2.4092,2.6969,0.9041
aggregate,3,0.1,-0.4121,-0.4184,-0.2696,-0.2542,-0.2582,-0.3155,-0.3213,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,3,0.2,0.0435,-0.0566,-0.0020,0.0416,0.0605,0.0430,0.0217,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,3,0.3,0.1246,0.0185,0.0391,0.0943,0.1466,0.1010,0.0874,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,3,0.4,0.1498,0.0518,0.0496,0.1172,0.1950,0.1150,0.1131,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,3,0.5,0.1596,0.0708,0.0526,0.1318,0.2242,0.1160,0.1258,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,3,0.6,0.1638,0.0819,0.0551,0.1419,0.2375,0.1104,0.1318,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,3,0.7,0.1656,0.0883,0.0589,0.1481,0.2393,0.1022,0.1337,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,3,0.8,0.1677,0.0937,0.0639,0.1521,0.2348,0.0964,0.1348,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,3,0.9,0.1691,0.0991,0.0697,0.1555,0.2280,0.0970,0.1364,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,3,1.0,0.1696,0.1029,0.0745,0.1586,0.2196,0.1031,0.1381,0.940,0.948,2.7284,2.5898,2.7351,2.6193,2.5108,2.5747,0.9013
aggregate,10,0.1,-0.3279,-0.4501,-0.3289,-0.1185,-0.1447,-0.2412,-0.2685,0.938,0.947,2.6667,2.5847,2.8207,2.6076,2.4168,2.5720,0.8961
aggregate,10,0.2,0.0680,-0.0631,-0.0767,0.0586,0.1017,0.0573,0.0243,0.938,0.947,2.6667,2.5847,2.8207,2.6076,2.4168,2.5720,0.8961
aggregate,10,0.3,0.1407,0.0147,-0.0343,0.0936,0.1830,0.1036,0.0836,0.938,0.947,2.6667,2.5847,2.8207,2.6076,2.4168,2.5720,0.8961
aggregate,10,0.4,0.1634,0.0469,-0.0254,0.1144,0.2331,0.1114,0.1073,0.938,0.947,2.6667,2.5847,2.8207,2.6076,2.4168,2.5720,0.8961
aggregate,10,0.5,0.1721,0.0633,-0.0241,0.1298,0.2647,0.1069,0.1188,0.938,0.947,2.6667,2.5847,2.8207,2.6076,2.4168,2.5720,0.8961
aggregate,10,0.6,0.1763,0.0719,-0.0223,0.1409,0.2809,0.0963,0.1240,0.938,0.947,2.6667,2.5847,2.8207,2.6076,2.4168,2.5720,0.8961
aggregate,10,0.7,0.1792,0.0758,-0.0173,0.1475,0.2861,0.0835,0.1258,0.938,0.947,2.6667,2.5847,2.8207,2.6076,2.4168,2.5720,0.8961
aggregate,10,0.8,0.1825,0.0782,-0.0090,0.1513,0.2854,0.0732,0.1269,0.938,0.947,2.6667,2.5847,2.8207,2.6076,2.4168,2.5720,0.8961
aggregate,10,0.9,0.1851,0.0804,0.0007,0.1539,0.2824,0.0697,0.1287,0.938,0.947,2.6667,2.5847,2.8207,2.6076,2.4168,2.5720,0.8961
