encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
aggregate,1,0.1,-0.1542,-0.2148,-0.2585,-0.0207,-0.0931,-0.1404,-0.1470,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,1,0.2,0.1175,-0.0086,-0.0461,0.1031,0.0918,0.0796,0.0562,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,1,0.3,0.1612,0.0363,-0.0144,0.1110,0.1590,0.1162,0.0949,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,1,0.4,0.1712,0.0539,-0.0080,0.1124,0.2022,0.1231,0.1091,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,1,0.5,0.1748,0.0611,-0.0071,0.1137,0.2277,0.1184,0.1148,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,1,0.6,0.1761,0.0620,-0.0066,0.1140,0.2387,0.1068,0.1152,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,1,0.7,0.1773,0.0590,-0.0041,0.1125,0.2397,0.0921,0.1128,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,1,0.8,0.1809,0.0550,0.0003,0.1110,0.2360,0.0802,0.1106,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,1,0.9,0.1848,0.0510,0.0056,0.1109,0.2303,0.0763,0.1098,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,1,1.0,0.1882,0.0461,0.0100,0.1122,0.2223,0.0785,0.1096,0.930,0.944,2.6027,2.5774,2.8055,2.6126,2.4253,2.6336,0.8956
aggregate,3,0.1,-0.4122,-0.4166,-0.2696,-0.2554,-0.2614,-0.3153,-0.3218,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,3,0.2,0.0435,-0.0560,-0.0021,0.0412,0.0595,0.0429,0.0215,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,3,0.3,0.1248,0.0188,0.0391,0.0942,0.1461,0.1008,0.0873,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,3,0.4,0.1500,0.0520,0.0498,0.1172,0.1946,0.1148,0.1131,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,3,0.5,0.1598,0.0708,0.0528,0.1318,0.2238,0.1158,0.1258,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,3,0.6,0.1640,0.0818,0.0553,0.1419,0.2371,0.1102,0.1317,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,3,0.7,0.1658,0.0881,0.0591,0.1481,0.2389,0.1021,0.1337,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,3,0.8,0.1678,0.0935,0.0642,0.1521,0.2345,0.0963,0.1347,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,3,0.9,0.1691,0.0988,0.0700,0.1555,0.2277,0.0969,0.1363,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,3,1.0,0.1696,0.1026,0.0748,0.1586,0.2194,0.1030,0.1380,0.940,0.948,2.7282,2.5906,2.7344,2.6193,2.5118,2.5734,0.9013
aggregate,10,0.1,-0.3267,-0.4564,-0.3285,-0.1136,-0.1404,-0.2403,-0.2677,0.938,0.947,2.6659,2.5859,2.8222,2.6067,2.4138,2.5729,0.8960
