encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
cnn,1,0.1,-0.1442,-0.3101,-0.1575,-0.0247,-0.1214,-0.0812,-0.1399,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,1,0.2,0.0605,-0.0599,-0.0389,0.0237,0.0380,0.0339,0.0095,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,1,0.3,0.1108,-0.0098,-0.0116,0.0487,0.0989,0.0704,0.0512,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,1,0.4,0.1313,0.0119,0.0009,0.0672,0.1329,0.0828,0.0712,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,1,0.5,0.1406,0.0230,0.0097,0.0824,0.1528,0.0851,0.0822,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,1,0.6,0.1456,0.0288,0.0186,0.0932,0.1609,0.0821,0.0882,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,1,0.7,0.1499,0.0319,0.0291,0.1004,0.1610,0.0765,0.0915,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,1,0.8,0.1540,0.0339,0.0411,0.1062,0.1566,0.0701,0.0936,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,1,0.9,0.1586,0.0363,0.0536,0.1112,0.1508,0.0679,0.0964,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,1,1.0,0.1631,0.0385,0.0649,0.1164,0.1442,0.0695,0.0994,0.939,0.951,2.6344,2.5709,2.6552,2.5888,2.5299,2.6521,0.8942
cnn,3,0.1,-0.1594,-0.3458,-0.3548,-0.0174,-0.1457,-0.0507,-0.1790,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,3,0.2,0.0622,-0.1020,-0.1433,0.0331,0.0182,0.0591,-0.0121,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,3,0.3,0.1178,-0.0518,-0.0959,0.0598,0.0839,0.0944,0.0347,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,3,0.4,0.1388,-0.0314,-0.0717,0.0788,0.1209,0.1061,0.0569,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,3,0.5,0.1478,-0.0207,-0.0551,0.0945,0.1437,0.1072,0.0696,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,3,0.6,0.1526,-0.0139,-0.0411,0.1059,0.1547,0.1040,0.0770,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,3,0.7,0.1573,-0.0095,-0.0269,0.1135,0.1579,0.0998,0.0820,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,3,0.8,0.1614,-0.0067,-0.0122,0.1198,0.1566,0.0964,0.0859,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,3,0.9,0.1655,-0.0041,0.0021,0.1254,0.1537,0.0974,0.0900,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,3,1.0,0.1691,-0.0021,0.0143,0.1313,0.1496,0.1017,0.0940,0.936,0.951,2.6329,2.6071,2.7401,2.5978,2.5341,2.5716,0.8971
cnn,10,0.1,-0.1638,-0.3205,-0.3717,-0.0352,-0.1486,-0.0495,-0.1815,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
cnn,10,0.2,0.0672,-0.0950,-0.1460,0.0449,0.0166,0.0671,-0.0075,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
cnn,10,0.3,0.1241,-0.0534,-0.0996,0.0735,0.0833,0.0995,0.0379,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
cnn,10,0.4,0.1442,-0.0368,-0.0762,0.0944,0.1206,0.1089,0.0592,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
cnn,10,0.5,0.1512,-0.0283,-0.0601,0.1112,0.1428,0.1083,0.0709,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
cnn,10,0.6,0.1539,-0.0231,-0.0461,0.1229,0.1525,0.1035,0.0773,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
cnn,10,0.7,0.1567,-0.0202,-0.0318,0.1302,0.1544,0.0982,0.0813,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
cnn,10,0.8,0.1595,-0.0189,-0.0169,0.1359,0.1524,0.0944,0.0844,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
cnn,10,0.9,0.1629,-0.0180,-0.0021,0.1408,0.1493,0.0948,0.0879,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
cnn,10,1.0,0.1668,-0.0173,0.0111,0.1462,0.1448,0.0983,0.0916,0.936,0.949,2.6525,2.6149,2.7482,2.5829,2.5313,2.6124,0.9005
