encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
flatten,3.0,0.1,-4.4436,-5.6952,-2.6714,-3.5348,-1.7884,-3.3758,-3.5849,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
flatten,3.0,0.2,-1.4700,-2.0950,-0.8669,-1.0578,-0.4535,-1.1838,-1.1879,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
flatten,3.0,0.3,-0.8367,-1.3746,-0.5152,-0.5374,-0.1853,-0.7552,-0.7007,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
flatten,3.0,0.4,-0.5979,-1.0926,-0.3852,-0.3320,-0.0753,-0.5987,-0.5136,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
flatten,3.0,0.5,-0.4875,-0.9469,-0.3180,-0.2303,-0.0210,-0.5334,-0.4228,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
flatten,3.0,0.6,-0.4282,-0.8545,-0.2710,-0.1733,0.0025,-0.5107,-0.3725,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
flatten,3.0,0.7,-0.3900,-0.7913,-0.2316,-0.1396,0.0099,-0.5054,-0.3413,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
flatten,3.0,0.8,-0.3610,-0.7441,-0.1960,-0.1180,0.0117,-0.5026,-0.3183,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
flatten,3.0,0.9,-0.3353,-0.7043,-0.1638,-0.1019,0.0122,-0.4916,-0.2974,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
flatten,3.0,1.0,-0.3126,-0.6690,-0.1351,-0.0890,0.0106,-0.4736,-0.2781,0.821,0.946,4.0038,3.9282,3.3018,3.3791,3.1851,3.9473,1.2435
