encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
cnn,3.0,0.1,-0.1698,-0.3379,-0.3556,-0.0469,-0.1601,-0.0231,-0.1822,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
cnn,3.0,0.2,0.0538,-0.1043,-0.1506,0.0249,0.0149,0.0637,-0.0163,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
cnn,3.0,0.3,0.1132,-0.0574,-0.1032,0.0579,0.0829,0.0953,0.0315,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
cnn,3.0,0.4,0.1355,-0.0373,-0.0794,0.0800,0.1213,0.1051,0.0542,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
cnn,3.0,0.5,0.1444,-0.0266,-0.0638,0.0971,0.1449,0.1040,0.0667,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
cnn,3.0,0.6,0.1486,-0.0198,-0.0506,0.1092,0.1557,0.0980,0.0735,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
cnn,3.0,0.7,0.1526,-0.0157,-0.0369,0.1171,0.1585,0.0907,0.0777,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
cnn,3.0,0.8,0.1562,-0.0135,-0.0225,0.1235,0.1567,0.0848,0.0808,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
cnn,3.0,0.9,0.1599,-0.0116,-0.0078,0.1290,0.1534,0.0840,0.0845,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
cnn,3.0,1.0,0.1633,-0.0102,0.0052,0.1349,0.1490,0.0871,0.0882,0.939,0.952,2.6669,2.6059,2.7577,2.5885,2.5368,2.6207,0.9024
