encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
aggregate,1.0,0.1,-25.0883,-0.4072,-0.1664,-0.1109,0.0874,0.0528,-4.2721,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
aggregate,1.0,0.2,-8.5059,-0.1234,0.0279,0.0723,0.1153,0.1389,-1.3792,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
aggregate,1.0,0.3,-5.1595,-0.0541,0.0644,0.0947,0.1532,0.1650,-0.7894,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
aggregate,1.0,0.4,-3.6885,-0.0193,0.0774,0.1002,0.1823,0.1781,-0.5283,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
aggregate,1.0,0.5,-2.8230,0.0046,0.0869,0.1067,0.2037,0.1854,-0.3726,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
aggregate,1.0,0.6,-2.2521,0.0226,0.0983,0.1138,0.2196,0.1904,-0.2679,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
aggregate,1.0,0.7,-1.8565,0.0358,0.1121,0.1190,0.2306,0.1951,-0.1940,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
aggregate,1.0,0.8,-1.5648,0.0462,0.1224,0.1248,0.2371,0.1997,-0.1391,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
aggregate,1.0,0.9,-1.3325,0.0546,0.1276,0.1322,0.2418,0.2045,-0.0953,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
aggregate,1.0,1.0,-1.1433,0.0612,0.1304,0.1405,0.2460,0.2076,-0.0596,0.945,0.946,2.8403,2.5518,2.6411,2.6900,2.4697,2.4277,0.8863
