encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
aggregate,3.0,0.1,0.0010,0.1010,0.1182,0.2266,0.2283,0.2257,0.1501,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.2,0.0122,0.0639,0.1107,0.1348,0.1522,0.1601,0.1056,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.3,0.0173,0.0744,0.1167,0.1230,0.1764,0.1768,0.1141,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.4,0.0242,0.0883,0.1256,0.1143,0.2024,0.1871,0.1237,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.5,0.0259,0.1023,0.1279,0.1099,0.2222,0.1943,0.1304,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.6,0.0367,0.1162,0.1318,0.1130,0.2381,0.2020,0.1396,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.7,0.0449,0.1304,0.1381,0.1148,0.2497,0.2087,0.1478,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.8,0.0519,0.1388,0.1479,0.1207,0.2557,0.2145,0.1549,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.9,0.0613,0.1463,0.1558,0.1314,0.2624,0.2162,0.1623,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,1.0,0.0631,0.1551,0.1635,0.1449,0.2680,0.2213,0.1693,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
