encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
aggregate,1.0,0.1,0.0208,0.1070,0.1505,0.2251,0.2156,0.2101,0.1548,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
aggregate,1.0,0.2,0.0041,0.0538,0.1021,0.1336,0.1391,0.1707,0.1005,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
aggregate,1.0,0.3,0.0186,0.0603,0.1074,0.1079,0.1646,0.1758,0.1058,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
aggregate,1.0,0.4,0.0315,0.0790,0.1175,0.1009,0.1909,0.1833,0.1172,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
aggregate,1.0,0.5,0.0311,0.0948,0.1233,0.1089,0.2089,0.1854,0.1254,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
aggregate,1.0,0.6,0.0437,0.0995,0.1304,0.1161,0.2246,0.1873,0.1336,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
aggregate,1.0,0.7,0.0478,0.1107,0.1379,0.1204,0.2336,0.1927,0.1405,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
aggregate,1.0,0.8,0.0558,0.1173,0.1476,0.1274,0.2413,0.1969,0.1477,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
aggregate,1.0,0.9,0.0625,0.1182,0.1555,0.1343,0.2445,0.2021,0.1529,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
aggregate,1.0,1.0,0.0611,0.1272,0.1614,0.1424,0.2483,0.2056,0.1577,0.948,0.948,2.4848,2.3873,2.4281,2.6030,2.3369,2.3506,0.8280
