encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
aggregate,1,0.1,0.1489,0.0467,0.0778,0.2579,0.1277,0.1928,0.1420,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,1,0.2,0.0841,0.0244,0.0571,0.1592,0.1339,0.1652,0.1040,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,1,0.3,0.0799,-0.0327,0.0726,0.1450,0.1584,0.1673,0.0984,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,1,0.4,0.0748,0.0438,0.0904,0.1395,0.1997,0.1478,0.1160,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,1,0.5,0.0704,0.0479,0.0629,0.1282,0.2198,0.1500,0.1132,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,1,0.6,0.0812,0.0432,0.0544,0.1324,0.2326,0.1502,0.1157,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,1,0.7,0.0783,0.0724,0.0496,0.1424,0.2276,0.1382,0.1181,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,1,0.8,0.1023,0.0754,0.0769,0.1454,0.2284,0.1462,0.1291,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,1,0.9,0.1027,0.0862,0.0864,0.1589,0.2221,0.1488,0.1342,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,1,1.0,0.1196,0.0848,0.0904,0.1625,0.2183,0.1502,0.1377,0.934,0.944,2.4792,2.3613,2.4877,2.4299,2.2446,2.3811,0.8225
aggregate,3,0.1,0.1198,0.0187,0.0376,0.2573,0.1334,0.1906,0.1262,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,3,0.2,0.0783,0.0139,0.0364,0.1633,0.1415,0.1741,0.1012,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,3,0.3,0.0796,0.0291,0.0602,0.1291,0.1861,0.1739,0.1097,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,3,0.4,0.0941,0.0799,0.0827,0.1407,0.2326,0.1785,0.1348,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,3,0.5,0.0935,0.0961,0.0738,0.1278,0.2460,0.1779,0.1358,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,3,0.6,0.1052,0.0897,0.0650,0.1295,0.2656,0.1807,0.1393,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,3,0.7,0.1164,0.0971,0.0786,0.1352,0.2714,0.1830,0.1469,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,3,0.8,0.1228,0.0999,0.0952,0.1439,0.2641,0.1810,0.1512,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,3,0.9,0.1326,0.1248,0.0949,0.1518,0.2682,0.1808,0.1588,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,3,1.0,0.1485,0.1205,0.1278,0.1572,0.2694,0.1744,0.1663,0.943,0.947,2.4486,2.2701,2.4679,2.4161,2.1926,2.3418,0.8084
aggregate,10,0.1,0.1376,0.0664,0.0574,0.2752,0.1327,0.2000,0.1449,0.939,0.946,2.4346,2.3249,2.4458,2.4125,2.1925,2.3069,0.8073
