encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
cnn,1,0.1,0.1078,0.0123,0.0244,0.1572,-0.0156,0.0480,0.0557,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,1,0.2,0.0830,0.0217,0.0279,0.1227,0.0026,0.0412,0.0498,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,1,0.3,0.0658,0.0283,0.0331,0.0971,0.0036,0.0352,0.0439,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,1,0.4,0.0726,0.0289,0.0258,0.0800,0.0096,0.0242,0.0402,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,1,0.5,0.0800,0.0346,0.0240,0.0753,0.0149,0.0165,0.0409,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,1,0.6,0.0703,0.0388,0.0237,0.0814,0.0187,0.0219,0.0425,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,1,0.7,0.0761,0.0357,0.0256,0.0752,0.0198,0.0186,0.0418,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,1,0.8,0.0814,0.0349,0.0287,0.0782,0.0152,0.0221,0.0434,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,1,0.9,0.0925,0.0444,0.0338,0.0804,0.0152,0.0228,0.0482,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,1,1.0,0.1059,0.0209,0.0370,0.0874,0.0119,0.0253,0.0480,0.941,0.948,2.4764,2.4820,2.5760,2.5995,2.5171,2.5135,0.8675
cnn,3,0.1,0.0934,0.0112,0.0331,0.1852,-0.0092,0.0445,0.0597,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,3,0.2,0.0756,0.0097,0.0074,0.1251,0.0026,0.0405,0.0435,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,3,0.3,0.0628,0.0031,-0.0053,0.1049,-0.0000,0.0216,0.0312,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,3,0.4,0.0690,0.0002,0.0036,0.1020,0.0055,0.0229,0.0339,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,3,0.5,0.0829,0.0232,0.0044,0.0933,0.0060,0.0154,0.0375,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,3,0.6,0.0958,0.0330,0.0113,0.1011,0.0125,0.0274,0.0469,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,3,0.7,0.1020,0.0370,0.0194,0.1044,0.0174,0.0262,0.0511,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,3,0.8,0.1156,0.0446,0.0257,0.1042,0.0147,0.0323,0.0562,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,3,0.9,0.1317,0.0406,0.0301,0.1183,0.0133,0.0349,0.0615,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,3,1.0,0.1464,0.0397,0.0353,0.1250,0.0090,0.0394,0.0658,0.938,0.949,2.4623,2.4928,2.5292,2.5368,2.5321,2.4958,0.8610
cnn,10,0.1,0.0929,-0.0066,0.0191,0.1779,-0.0100,0.0488,0.0537,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
cnn,10,0.2,0.0788,0.0143,0.0137,0.1301,-0.0043,0.0337,0.0444,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
cnn,10,0.3,0.0868,0.0163,0.0208,0.1150,0.0005,0.0401,0.0466,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
cnn,10,0.4,0.0877,0.0302,0.0207,0.1209,0.0128,0.0367,0.0515,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
cnn,10,0.5,0.0971,0.0350,0.0199,0.1217,0.0180,0.0365,0.0547,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
cnn,10,0.6,0.0995,0.0410,0.0253,0.1293,0.0223,0.0393,0.0594,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
cnn,10,0.7,0.1082,0.0445,0.0271,0.1299,0.0229,0.0414,0.0623,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
cnn,10,0.8,0.1161,0.0446,0.0336,0.1277,0.0215,0.0393,0.0638,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
cnn,10,0.9,0.1295,0.0477,0.0371,0.1351,0.0147,0.0382,0.0670,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
cnn,10,1.0,0.1421,0.0487,0.0421,0.1454,0.0108,0.0424,0.0719,0.941,0.948,2.4887,2.4349,2.5319,2.5806,2.5000,2.4474,0.8571
