encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
flatten,3.0,0.1,-0.0337,-0.1346,-0.0520,-0.0711,-0.0347,-0.0451,-0.0619,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
flatten,3.0,0.2,-0.0433,-0.0241,-0.0123,-0.0451,-0.0064,-0.0255,-0.0261,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
flatten,3.0,0.3,-0.0180,-0.0291,-0.0053,-0.0898,-0.0030,-0.0107,-0.0260,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
flatten,3.0,0.4,-0.0442,-0.0530,-0.0069,-0.0770,0.0042,-0.0203,-0.0329,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
flatten,3.0,0.5,-0.0677,-0.0277,-0.0159,-0.0650,-0.0107,-0.0286,-0.0359,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
flatten,3.0,0.6,-0.0568,-0.0696,-0.0058,-0.0750,0.0085,-0.0172,-0.0360,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
flatten,3.0,0.7,-0.0508,-0.0482,-0.0024,-0.0774,0.0038,-0.0449,-0.0367,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
flatten,3.0,0.8,-0.0630,-0.0061,-0.0183,-0.0999,-0.0170,-0.0651,-0.0449,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
flatten,3.0,0.9,-0.0266,-0.0100,-0.0291,-0.0859,-0.0098,-0.0715,-0.0388,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
flatten,3.0,1.0,-0.0536,-0.0460,-0.0059,-0.0724,-0.0209,-0.0264,-0.0375,0.929,0.946,2.7647,2.4458,2.5178,2.9275,2.3906,2.6036,0.8945
