encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
cnn,3.0,0.1,0.1028,0.0171,0.0256,0.1891,-0.0214,0.0472,0.0601,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
cnn,3.0,0.2,0.0786,0.0217,0.0293,0.1269,-0.0005,0.0480,0.0507,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
cnn,3.0,0.3,0.0764,0.0223,0.0272,0.1044,0.0041,0.0426,0.0462,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
cnn,3.0,0.4,0.0746,0.0289,0.0265,0.0990,0.0090,0.0360,0.0457,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
cnn,3.0,0.5,0.0829,0.0326,0.0299,0.0846,0.0101,0.0293,0.0449,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
cnn,3.0,0.6,0.0856,0.0341,0.0337,0.0880,0.0178,0.0356,0.0491,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
cnn,3.0,0.7,0.0903,0.0400,0.0383,0.0965,0.0159,0.0401,0.0535,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
cnn,3.0,0.8,0.0934,0.0469,0.0386,0.0948,0.0131,0.0405,0.0546,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
cnn,3.0,0.9,0.1086,0.0415,0.0450,0.1084,0.0104,0.0502,0.0607,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
cnn,3.0,1.0,0.1263,0.0372,0.0500,0.1116,0.0057,0.0572,0.0647,0.943,0.949,2.5343,2.4739,2.5479,2.6188,2.5179,2.4503,0.8661
