encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
aggregate,3.0,0.1,0.0010,0.1010,0.1182,0.2266,0.2283,0.2257,0.1501,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.2,0.0122,0.0639,0.1107,0.1348,0.1522,0.1601,0.1056,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.3,0.0173,0.0744,0.1167,0.1230,0.1764,0.1768,0.1141,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.4,0.0242,0.0883,0.1256,0.1143,0.2024,0.1871,0.1237,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.5,0.0259,0.1023,0.1279,0.1099,0.2222,0.1943,0.1304,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.6,0.0367,0.1162,0.1318,0.1130,0.2381,0.2020,0.1396,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.7,0.0449,0.1304,0.1381,0.1148,0.2497,0.2087,0.1478,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.8,0.0519,0.1388,0.1479,0.1207,0.2557,0.2145,0.1549,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,0.9,0.0613,0.1463,0.1558,0.1314,0.2624,0.2162,0.1623,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
aggregate,3.0,1.0,0.0631,0.1551,0.1635,0.1449,0.2680,0.2213,0.1693,0.943,0.948,2.5267,2.3603,2.4556,2.6256,2.3089,2.3384,0.8294
flatten,3.0,0.1,-0.1317,-0.0493,-0.0323,-0.0554,-0.1066,-0.0551,-0.0717,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
flatten,3.0,0.2,-0.0396,-0.0331,-0.0124,-0.0171,-0.0399,-0.0210,-0.0272,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
flatten,3.0,0.3,-0.0138,-0.0219,-0.0164,0.0010,-0.0132,-0.0089,-0.0122,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
flatten,3.0,0.4,-0.0086,0.0009,-0.0116,0.0173,0.0068,-0.0149,-0.0017,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
flatten,3.0,0.5,-0.0207,0.0073,-0.0042,0.0373,0.0018,-0.0172,0.0007,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
flatten,3.0,0.6,-0.0137,0.0020,0.0018,0.0421,0.0050,-0.0056,0.0053,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
flatten,3.0,0.7,-0.0066,0.0012,-0.0047,0.0457,0.0083,0.0023,0.0077,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
flatten,3.0,0.8,0.0261,0.0067,-0.0071,0.0531,0.0098,0.0021,0.0151,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
flatten,3.0,0.9,0.0193,0.0148,0.0018,0.0607,0.0139,0.0091,0.0199,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
flatten,3.0,1.0,0.0210,0.0137,0.0021,0.0675,0.0117,0.0187,0.0224,0.941,0.950,2.8697,2.4639,2.5496,2.6720,2.5051,2.5560,0.8861
cnn,3.0,0.1,0.0167,-0.0033,0.0080,0.1504,-0.0076,0.0251,0.0316,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
cnn,3.0,0.2,0.0132,-0.0028,0.0186,0.1062,0.0049,0.0346,0.0291,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
cnn,3.0,0.3,0.0185,0.0031,0.0167,0.0904,0.0113,0.0346,0.0291,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
cnn,3.0,0.4,0.0282,0.0070,0.0179,0.0905,0.0175,0.0326,0.0323,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
cnn,3.0,0.5,0.0269,0.0091,0.0188,0.1005,0.0231,0.0310,0.0349,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
cnn,3.0,0.6,0.0374,0.0106,0.0241,0.1123,0.0256,0.0322,0.0404,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
cnn,3.0,0.7,0.0416,0.0178,0.0253,0.1201,0.0305,0.0338,0.0449,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
cnn,3.0,0.8,0.0457,0.0227,0.0279,0.1277,0.0338,0.0363,0.0490,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
cnn,3.0,0.9,0.0564,0.0240,0.0326,0.1391,0.0363,0.0398,0.0547,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
cnn,3.0,1.0,0.0546,0.0236,0.0353,0.1466,0.0383,0.0426,0.0568,0.942,0.950,2.6151,2.4963,2.5663,2.6267,2.5888,2.5703,0.8778
