encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal
flatten,1,0.1,-0.0427,-0.1006,-0.0418,-0.0829,-0.0265,-0.0367,-0.0552,0.932,0.946
flatten,1,0.2,-0.0371,-0.0152,-0.0158,-0.0706,-0.0121,-0.0464,-0.0329,0.932,0.946
flatten,1,0.3,-0.0114,-0.0240,-0.0009,-0.0951,-0.0037,-0.0363,-0.0286,0.932,0.946
flatten,1,0.4,-0.0217,-0.0408,-0.0076,-0.0839,0.0071,-0.0604,-0.0345,0.932,0.946
flatten,1,0.5,-0.0483,-0.0250,-0.0155,-0.0939,0.0064,-0.0827,-0.0432,0.932,0.946
flatten,1,0.6,-0.0417,-0.0459,-0.0076,-0.1096,0.0163,-0.0509,-0.0399,0.932,0.946
flatten,1,0.7,-0.0391,-0.0160,-0.0015,-0.1024,0.0080,-0.0713,-0.0371,0.932,0.946
flatten,1,0.8,-0.0682,0.0069,0.0025,-0.1118,-0.0112,-0.0634,-0.0409,0.932,0.946
flatten,1,0.9,-0.0396,-0.0171,-0.0075,-0.1362,-0.0059,-0.0747,-0.0468,0.932,0.946
flatten,1,1.0,-0.0495,-0.0394,-0.0005,-0.1091,-0.0081,-0.0403,-0.0411,0.932,0.946
flatten,3,0.1,-0.0331,-0.0950,-0.0291,-0.0449,-0.0344,-0.0141,-0.0418,0.931,0.947
flatten,3,0.2,-0.0399,-0.0130,-0.0077,-0.0249,-0.0020,-0.0073,-0.0158,0.931,0.947
flatten,3,0.3,0.0033,-0.0094,0.0035,-0.0445,0.0034,-0.0026,-0.0077,0.931,0.947
flatten,3,0.4,-0.0239,-0.0567,0.0041,-0.0426,-0.0035,-0.0015,-0.0207,0.931,0.947
flatten,3,0.5,-0.0440,-0.0116,-0.0099,-0.0405,-0.0199,-0.0136,-0.0232,0.931,0.947
flatten,3,0.6,-0.0411,-0.0360,-0.0064,-0.0814,0.0052,-0.0111,-0.0285,0.931,0.947
flatten,3,0.7,-0.0306,-0.0209,0.0079,-0.0686,-0.0103,-0.0285,-0.0251,0.931,0.947
flatten,3,0.8,-0.0656,0.0094,-0.0110,-0.0956,-0.0022,-0.0365,-0.0336,0.931,0.947
flatten,3,0.9,-0.0156,0.0201,-0.0112,-0.0800,-0.0222,-0.0327,-0.0236,0.931,0.947
flatten,3,1.0,-0.0441,-0.0376,0.0055,-0.0849,-0.0203,-0.0188,-0.0334,0.931,0.947
flatten,10,0.1,-0.0482,-0.1586,-0.0722,-0.0761,-0.0314,-0.0506,-0.0729,0.930,0.947
flatten,10,0.2,-0.0168,-0.0282,0.0034,-0.0246,-0.0006,-0.0461,-0.0188,0.930,0.947
flatten,10,0.3,-0.0072,-0.0192,0.0105,-0.0442,-0.0041,-0.0432,-0.0179,0.930,0.947
flatten,10,0.4,-0.0287,-0.0378,0.0024,-0.0529,-0.0122,-0.0372,-0.0277,0.930,0.947
flatten,10,0.5,-0.0445,0.0017,-0.0007,-0.0198,-0.0034,-0.0541,-0.0201,0.930,0.947
flatten,10,0.6,-0.0205,-0.0246,0.0107,-0.0398,0.0092,-0.0534,-0.0197,0.930,0.947
flatten,10,0.7,-0.0374,-0.0210,0.0073,-0.0253,0.0108,-0.0694,-0.0225,0.930,0.947
flatten,10,0.8,-0.0358,0.0045,-0.0010,-0.0486,0.0035,-0.0559,-0.0222,0.930,0.947
flatten,10,0.9,-0.0238,-0.0067,-0.0094,-0.0497,0.0031,-0.0547,-0.0235,0.930,0.947
flatten,10,1.0,-0.0225,-0.0215,0.0103,-0.0359,0.0028,-0.0406,-0.0179,0.930,0.947
cnn,1,0.1,0.1009,0.0237,0.0346,0.1776,-0.0149,0.0407,0.0604,0.940,0.948
cnn,1,0.2,0.0746,0.0262,0.0261,0.1255,0.0080,0.0522,0.0521,0.940,0.948
cnn,1,0.3,0.0749,0.0264,0.0272,0.0973,0.0096,0.0403,0.0459,0.940,0.948
cnn,1,0.4,0.0709,0.0363,0.0249,0.0896,0.0180,0.0329,0.0454,0.940,0.948
cnn,1,0.5,0.0851,0.0368,0.0241,0.0833,0.0187,0.0182,0.0444,0.940,0.948
cnn,1,0.6,0.0863,0.0452,0.0244,0.0882,0.0226,0.0246,0.0485,0.940,0.948
cnn,1,0.7,0.0923,0.0405,0.0251,0.0837,0.0203,0.0273,0.0482,0.940,0.948
cnn,1,0.8,0.1078,0.0449,0.0315,0.0900,0.0156,0.0303,0.0533,0.940,0.948
cnn,1,0.9,0.1265,0.0477,0.0362,0.0931,0.0133,0.0324,0.0582,0.940,0.948
cnn,1,1.0,0.1316,0.0346,0.0433,0.1022,0.0105,0.0342,0.0594,0.940,0.948
cnn,3,0.1,0.1034,-0.0047,0.0312,0.1828,-0.0156,0.0404,0.0563,0.942,0.948
cnn,3,0.2,0.0765,0.0135,0.0319,0.1171,-0.0013,0.0431,0.0468,0.942,0.948
cnn,3,0.3,0.0765,0.0224,0.0304,0.0914,0.0006,0.0403,0.0436,0.942,0.948
cnn,3,0.4,0.0812,0.0271,0.0281,0.0832,0.0049,0.0356,0.0433,0.942,0.948
cnn,3,0.5,0.0864,0.0353,0.0273,0.0758,0.0076,0.0246,0.0428,0.942,0.948
cnn,3,0.6,0.0926,0.0425,0.0293,0.0779,0.0149,0.0254,0.0471,0.942,0.948
cnn,3,0.7,0.0964,0.0451,0.0323,0.0786,0.0129,0.0299,0.0492,0.942,0.948
cnn,3,0.8,0.0986,0.0535,0.0387,0.0776,0.0086,0.0303,0.0512,0.942,0.948
cnn,3,0.9,0.1134,0.0484,0.0442,0.0878,0.0072,0.0378,0.0565,0.942,0.948
cnn,3,1.0,0.1320,0.0473,0.0468,0.0927,0.0058,0.0374,0.0603,0.942,0.948
cnn,10,0.1,0.1130,0.0021,0.0225,0.1746,-0.0089,0.0574,0.0601,0.934,0.948
cnn,10,0.2,0.0950,0.0149,0.0216,0.1323,0.0021,0.0463,0.0520,0.934,0.948
cnn,10,0.3,0.0975,0.0246,0.0268,0.1255,0.0145,0.0451,0.0557,0.934,0.948
cnn,10,0.4,0.1014,0.0267,0.0282,0.1267,0.0145,0.0396,0.0562,0.934,0.948
cnn,10,0.5,0.1151,0.0248,0.0259,0.1229,0.0174,0.0309,0.0562,0.934,0.948
cnn,10,0.6,0.1214,0.0299,0.0304,0.1286,0.0163,0.0384,0.0608,0.934,0.948
cnn,10,0.7,0.1328,0.0346,0.0350,0.1348,0.0201,0.0439,0.0669,0.934,0.948
cnn,10,0.8,0.1398,0.0477,0.0419,0.1402,0.0178,0.0425,0.0717,0.934,0.948
cnn,10,0.9,0.1485,0.0436,0.0417,0.1425,0.0102,0.0520,0.0731,0.934,0.948
cnn,10,1.0,0.1623,0.0420,0.0506,0.1496,0.0090,0.0509,0.0774,0.934,0.948
