encoder,history_s,forecast_step_s,F_L_skill,CoPx_L_skill,CoPy_L_skill,F_R_skill,CoPx_R_skill,CoPy_R_skill,mean_skill,coverage_raw,coverage_cal,F_L_hausdorff,CoPx_L_hausdorff,CoPy_L_hausdorff,F_R_hausdorff,CoPx_R_hausdorff,CoPy_R_hausdorff,hausdorff_ratio_vs_persistence
aggregate,1,0.1,0.1509,0.0466,0.0732,0.2597,0.1215,0.1858,0.1396,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,1,0.2,0.0866,0.0223,0.0574,0.1602,0.1326,0.1561,0.1025,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,1,0.3,0.0824,-0.0376,0.0703,0.1458,0.1589,0.1630,0.0971,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,1,0.4,0.0766,0.0407,0.0880,0.1423,0.1991,0.1419,0.1148,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,1,0.5,0.0739,0.0436,0.0595,0.1328,0.2189,0.1436,0.1120,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,1,0.6,0.0873,0.0396,0.0493,0.1346,0.2337,0.1455,0.1150,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,1,0.7,0.0859,0.0695,0.0467,0.1457,0.2299,0.1309,0.1181,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,1,0.8,0.1046,0.0722,0.0755,0.1489,0.2326,0.1365,0.1284,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,1,0.9,0.1068,0.0837,0.0847,0.1590,0.2295,0.1413,0.1342,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,1,1.0,0.1219,0.0811,0.0910,0.1615,0.2258,0.1442,0.1376,0.935,0.944,2.4661,2.3529,2.4959,2.4146,2.2510,2.3836,0.8215
aggregate,3,0.1,0.1210,0.0284,0.0502,0.2649,0.1552,0.1975,0.1362,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,3,0.2,0.0858,0.0167,0.0416,0.1713,0.1487,0.1852,0.1082,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,3,0.3,0.0829,0.0216,0.0623,0.1399,0.1855,0.1901,0.1137,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,3,0.4,0.0995,0.0826,0.0834,0.1467,0.2336,0.1932,0.1398,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,3,0.5,0.0986,0.0989,0.0755,0.1343,0.2471,0.1905,0.1408,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,3,0.6,0.1096,0.0971,0.0676,0.1372,0.2691,0.1898,0.1451,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,3,0.7,0.1201,0.0911,0.0812,0.1442,0.2744,0.1878,0.1498,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,3,0.8,0.1304,0.0871,0.0973,0.1571,0.2694,0.1904,0.1553,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,3,0.9,0.1384,0.1127,0.0958,0.1664,0.2740,0.1865,0.1623,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,3,1.0,0.1541,0.1062,0.1295,0.1708,0.2734,0.1860,0.1700,0.942,0.947,2.4354,2.2953,2.4565,2.4276,2.1851,2.3102,0.8068
aggregate,10,0.1,0.1357,0.0653,0.0570,0.2756,0.1323,0.2003,0.1444,0.939,0.946,2.4356,2.3246,2.4441,2.4135,2.1927,2.3079,0.8073
aggregate,10,0.2,0.0898,0.0316,0.0757,0.1840,0.1424,0.1938,0.1196,0.939,0.946,2.4356,2.3246,2.4441,2.4135,2.1927,2.3079,0.8073
aggregate,10,0.3,0.0875,0.0192,0.0707,0.1607,0.1766,0.1921,0.1178,0.939,0.946,2.4356,2.3246,2.4441,2.4135,2.1927,2.3079,0.8073
aggregate,10,0.4,0.0963,0.0639,0.0844,0.1554,0.2305,0.1796,0.1350,0.939,0.946,2.4356,2.3246,2.4441,2.4135,2.1927,2.3079,0.8073
aggregate,10,0.5,0.0949,0.0616,0.0882,0.1563,0.2477,0.1736,0.1371,0.939,0.946,2.4356,2.3246,2.4441,2.4135,2.1927,2.3079,0.8073
aggregate,10,0.6,0.1130,0.0500,0.0814,0.1554,0.2789,0.1819,0.1434,0.939,0.946,2.4356,2.3246,2.4441,2.4135,2.1927,2.3079,0.8073
aggregate,10,0.7,0.1197,0.0494,0.0996,0.1735,0.2778,0.1651,0.1475,0.939,0.946,2.4356,2.3246,2.4441,2.4135,2.1927,2.3079,0.8073
aggregate,10,0.8,0.1303,0.0650,0.1122,0.1736,0.2713,0.1555,0.1513,0.939,0.946,2.4356,2.3246,2.4441,2.4135,2.1927,2.3079,0.8073
aggregate,10,0.9,0.1330,0.0950,0.1060,0.1859,0.2807,0.1548,0.1592,0.939,0.946,2.4356,2.3246,2.4441,2.4135,2.1927,2.3079,0.8073
