arm,model,channel,HD_ratio_vs_persistence,Hausdorff,SS_vs_persistence
class,ar,CoPx_L,0.859,2.4681,0.1305
class,ar,CoPx_R,0.8494,2.4268,0.1312
class,ar,CoPy_L,0.8789,2.5331,0.1208
class,ar,CoPy_R,0.9157,2.6285,-0.0321
class,ar,F_L,0.8971,2.6865,0.0679
class,ar,F_R,0.8909,2.694,0.1009
class,persistence,CoPx_L,1.0,2.8732,0.0
class,persistence,CoPx_R,1.0,2.8572,0.0
class,persistence,CoPy_L,1.0,2.8822,0.0
class,persistence,CoPy_R,1.0,2.8696,0.0
class,persistence,F_L,1.0,2.9949,0.0
class,persistence,F_R,1.0,3.0233,0.0
class,probgru,CoPx_L,0.8969,2.5779,0.049
class,probgru,CoPx_R,0.8995,2.5702,-0.0189
class,probgru,CoPy_L,0.924,2.6639,0.0171
class,probgru,CoPy_R,1.0149,2.9138,-0.1921
class,probgru,F_L,1.12,3.3531,-0.3854
class,probgru,F_R,1.0156,3.0708,-0.0269
class,seasonal,CoPx_L,1.0004,2.8745,-0.0195
class,seasonal,CoPx_R,1.0053,2.8723,-0.0403
class,seasonal,CoPy_L,1.0069,2.9019,-0.0711
class,seasonal,CoPy_R,1.0123,2.9048,-0.0733
class,seasonal,F_L,1.0148,3.0395,-0.087
class,seasonal,F_R,1.0137,3.0646,-0.0466
none,ar,CoPx_L,0.859,2.4681,0.1305
none,ar,CoPx_R,0.8494,2.4268,0.1312
none,ar,CoPy_L,0.8789,2.5331,0.1208
none,ar,CoPy_R,0.9157,2.6285,-0.0321
none,ar,F_L,0.8971,2.6865,0.0679
none,ar,F_R,0.8909,2.694,0.1009
none,persistence,CoPx_L,1.0,2.8732,0.0
none,persistence,CoPx_R,1.0,2.8572,0.0
none,persistence,CoPy_L,1.0,2.8822,0.0
none,persistence,CoPy_R,1.0,2.8696,0.0
none,persistence,F_L,1.0,2.9949,0.0
none,persistence,F_R,1.0,3.0233,0.0
none,probgru,CoPx_L,0.8976,2.5801,0.0259
none,probgru,CoPx_R,0.9261,2.6457,-0.057
none,probgru,CoPy_L,0.9223,2.6587,0.0387
none,probgru,CoPy_R,1.0308,2.9591,-0.2176
none,probgru,F_L,1.1065,3.313,-0.3529
none,probgru,F_R,0.9997,3.0221,0.0019
none,seasonal,CoPx_L,1.0004,2.8745,-0.0195
none,seasonal,CoPx_R,1.0053,2.8723,-0.0403
none,seasonal,CoPy_L,1.0069,2.9019,-0.0711
none,seasonal,CoPy_R,1.0123,2.9048,-0.0733
none,seasonal,F_L,1.0148,3.0395,-0.087
none,seasonal,F_R,1.0137,3.0646,-0.0466
