fold,held_out,model,channel,hand,horizon_step,metric,value,n_frames,config_hash
0,S01,persistence,F_L,left,1,MSE,12.931642852400447,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,1,MAE,2.3053750274533824,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,1,SS_vs_persistence,7.738254481637341e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,1,SS_vs_seasonal,0.021187963133122545,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,1,SS_vs_ar,-0.01616564175027979,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,1,SS_vs_probgru,0.6348312721811562,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,2,MSE,24.859300793248472,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,2,MAE,3.354062402985987,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,2,SS_vs_persistence,4.0190073491430667e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,2,SS_vs_seasonal,0.009436806241971851,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,2,SS_vs_ar,-0.03768800969717789,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,2,SS_vs_probgru,0.536169843213137,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,3,MSE,34.86910654458612,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,3,MAE,4.0824590388294855,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,3,SS_vs_persistence,2.8754776337791554e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,3,SS_vs_seasonal,0.005457481354463778,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,3,SS_vs_ar,-0.05001401255426119,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,3,SS_vs_probgru,0.5019613110411943,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,4,MSE,42.9524484788264,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,4,MAE,4.612147633346552,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,4,SS_vs_persistence,2.3314683517128287e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,4,SS_vs_seasonal,0.003557997843692373,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,4,SS_vs_ar,-0.060245676079949684,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,4,SS_vs_probgru,0.4863675802334816,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,5,MSE,50.20490825286866,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,5,MAE,5.069163596290004,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,5,SS_vs_persistence,1.9984014443252818e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,5,SS_vs_seasonal,0.0023231074218520442,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,5,SS_vs_ar,-0.06743689901235173,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,5,SS_vs_probgru,0.4716983572942558,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,6,MSE,57.12439311108948,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,6,MAE,5.472699075241626,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,6,SS_vs_persistence,1.7541523789077473e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,6,SS_vs_seasonal,0.002079061590149034,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,6,SS_vs_ar,-0.07148418446071214,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,6,SS_vs_probgru,0.4573458876997425,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,MSE,37.15696667216993,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,MAE,4.149317795691172,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,Hausdorff,2.995110688110277,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,SS_vs_persistence,2.6978419498391304e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,HD_ratio_vs_persistence,1.0,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,SS_vs_seasonal,0.00489816657744202,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,HD_ratio_vs_seasonal,0.9970944089885444,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,SS_vs_ar,-0.05785540209547513,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,HD_ratio_vs_ar,1.160235455327338,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,SS_vs_probgru,0.4966834406582018,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_L,left,all,HD_ratio_vs_probgru,0.7556094337409565,32388,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,1,MSE,1.802487782758839e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,1,MAE,0.0026773711588463714,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,1,SS_vs_persistence,5.547887504953053e-08,15430,2ec2ba37fa8cbb0b
