scope,subset,model,channel,metric,value,ci_lo,ci_hi,n_clips
overall,all,ar,F_R,R2,0.6530253282904547,,,2843
overall,all,ar,CoPx_R,R2,0.26536993645919116,,,2843
overall,all,ar,CoPy_R,R2,0.11523076662076626,,,2843
overall,all,cnn,F_R,R2,0.6489635356870112,,,2843
overall,all,cnn,CoPx_R,R2,0.1587402545166875,,,2843
overall,all,cnn,CoPy_R,R2,0.010692305900996124,,,2843
overall,all,flatten,F_R,R2,0.6217181490431594,,,2843
overall,all,flatten,CoPx_R,R2,0.10930480004225673,,,2843
overall,all,flatten,CoPy_R,R2,-0.012029982878864809,,,2843
overall,all,map_aggregate,F_R,R2,0.6610903133332211,,,2843
overall,all,map_aggregate,CoPx_R,R2,0.24759384319762479,,,2843
overall,all,map_aggregate,CoPy_R,R2,0.10128867132591957,,,2843
overall,all,persistence,F_R,R2,0.5031668002238826,,,2843
overall,all,persistence,CoPx_R,R2,-0.34583977071324545,,,2843
overall,all,persistence,CoPy_R,R2,-0.7105041062855841,,,2843
overall,all,seasonal,F_R,R2,0.4599116759969878,,,2843
overall,all,seasonal,CoPx_R,R2,-0.3693639436385565,,,2843
overall,all,seasonal,CoPy_R,R2,-0.721378521047302,,,2843
overall,all,ar,F_R,skill_vs_persistence,0.30162744384654894,,,2843
overall,all,ar,CoPx_R,skill_vs_persistence,0.454147455345682,,,2843
overall,all,ar,CoPy_R,skill_vs_persistence,0.4827435782656265,,,2843
overall,all,cnn,F_R,skill_vs_persistence,0.2934520791461346,,,2843
overall,all,cnn,CoPx_R,skill_vs_persistence,0.37491834927907064,,,2843
overall,all,cnn,CoPy_R,skill_vs_persistence,0.4216279923189906,,,2843
overall,all,flatten,F_R,skill_vs_persistence,0.2386139832698343,,,2843
overall,all,flatten,CoPx_R,skill_vs_persistence,0.3381862987406683,,,2843
overall,all,flatten,CoPy_R,skill_vs_persistence,0.4083440202452824,,,2843
overall,all,map_aggregate,F_R,skill_vs_persistence,0.31786022588768603,,,2843
overall,all,map_aggregate,CoPx_R,skill_vs_persistence,0.44093927585181425,,,2843
overall,all,map_aggregate,CoPy_R,skill_vs_persistence,0.47459270903145523,,,2843
overall,all,seasonal,F_R,skill_vs_persistence,-0.0870616622367153,,,2843
overall,all,seasonal,CoPx_R,skill_vs_persistence,-0.01747917801005716,,,2843
overall,all,seasonal,CoPy_R,skill_vs_persistence,-0.006357432713407496,,,2843
trait,smooth,ar,F_R,R2,0.6301668697766791,,,299
trait,smooth,ar,CoPx_R,R2,0.23439029577205217,,,299
trait,smooth,ar,CoPy_R,R2,0.1449161210791604,,,299
trait,abrupt,ar,F_R,R2,0.6550817372901291,,,2544
trait,abrupt,ar,CoPx_R,R2,0.2677662465255982,,,2544
trait,abrupt,ar,CoPy_R,R2,0.11062023892450534,,,2544
trait,smooth,cnn,F_R,R2,0.6184514458273797,,,299
trait,smooth,cnn,CoPx_R,R2,0.12972265155377127,,,299
trait,smooth,cnn,CoPy_R,R2,0.046567866463216645,,,299
trait,abrupt,cnn,F_R,R2,0.6518620390436995,,,2544
trait,abrupt,cnn,CoPx_R,R2,0.16081210656236455,,,2544
trait,abrupt,cnn,CoPy_R,R2,0.00522314485370956,,,2544
trait,smooth,flatten,F_R,R2,0.5934949187184755,,,299
trait,smooth,flatten,CoPx_R,R2,0.07195710563048197,,,299
trait,smooth,flatten,CoPy_R,R2,0.009371022687700958,,,299
trait,abrupt,flatten,F_R,R2,0.624325840483505,,,2544
trait,abrupt,flatten,CoPx_R,R2,0.11218798366251026,,,2544
trait,abrupt,flatten,CoPy_R,R2,-0.015834837991662853,,,2544
trait,smooth,map_aggregate,F_R,R2,0.6432819896509705,,,299
trait,smooth,map_aggregate,CoPx_R,R2,0.22103594696848683,,,299
trait,smooth,map_aggregate,CoPy_R,R2,0.1326097927402805,,,299
trait,abrupt,map_aggregate,F_R,R2,0.6625984540408438,,,2544
trait,abrupt,map_aggregate,CoPx_R,R2,0.2495098537092767,,,2544
trait,abrupt,map_aggregate,CoPy_R,R2,0.09646883743219858,,,2544
trait,smooth,persistence,F_R,R2,0.4628130759388521,,,299
trait,smooth,persistence,CoPx_R,R2,-0.3832571321508276,,,299
trait,smooth,persistence,CoPy_R,R2,-0.6040335341393319,,,299
trait,abrupt,persistence,F_R,R2,0.5069556034591058,,,2544
trait,abrupt,persistence,CoPx_R,R2,-0.3434625368205304,,,2544
trait,abrupt,persistence,CoPy_R,R2,-0.7251599323799747,,,2544
trait,smooth,seasonal,F_R,R2,0.34605887004446867,,,299
trait,smooth,seasonal,CoPx_R,R2,-0.4344038902617986,,,299
trait,smooth,seasonal,CoPy_R,R2,-0.6292505290650316,,,299
trait,abrupt,seasonal,F_R,R2,0.47178143042290155,,,2544
trait,abrupt,seasonal,CoPx_R,R2,-0.36413802080224533,,,2544
trait,abrupt,seasonal,CoPy_R,R2,-0.7343702519301776,,,2544
trait,delta,ar,F_R,dR2,-0.024914867513449956,-0.10228951362853603,0.04799672824333532,2843
trait,delta,ar,CoPx_R,dR2,-0.033375950753546046,-0.10908879134253097,0.030809001670878258,2843
trait,delta,ar,CoPy_R,dR2,0.034295882154655066,-0.008941431659103072,0.07485880123259434,2843
trait,delta,cnn,F_R,dR2,-0.033410593216319895,-0.11690800534104691,0.04511211851129815,2843
trait,delta,cnn,CoPx_R,dR2,-0.03108945500859328,-0.14038954565973494,0.0663728735851295,2843
trait,delta,cnn,CoPy_R,dR2,0.041344721609507085,-0.022315214802779267,0.10138789376662724,2843
trait,delta,flatten,F_R,dR2,-0.03083092176502955,-0.12456996014824623,0.05386986056338767,2843
