scope,subset,model,channel,metric,value,ci_lo,ci_hi,n_clips
overall,all,ar,F_R,R2,0.6530253282904547,,,2843
overall,all,ar,CoPx_R,R2,0.26536993645919116,,,2843
overall,all,ar,CoPy_R,R2,0.11523076662076626,,,2843
overall,all,persistence,F_R,R2,0.5031668002238826,,,2843
overall,all,persistence,CoPx_R,R2,-0.34583977071324545,,,2843
overall,all,persistence,CoPy_R,R2,-0.7105041062855841,,,2843
overall,all,pg_cnn,F_R,R2,0.6362569405831402,,,2843
overall,all,pg_cnn,CoPx_R,R2,0.24732324467767008,,,2843
overall,all,pg_cnn,CoPy_R,R2,0.0383663476522661,,,2843
overall,all,pg_flatten,F_R,R2,0.6144535897270946,,,2843
overall,all,pg_flatten,CoPx_R,R2,0.22256348350607424,,,2843
overall,all,pg_flatten,CoPy_R,R2,0.05773777738997832,,,2843
overall,all,prob_gru,F_R,R2,0.6474910447606775,,,2843
overall,all,prob_gru,CoPx_R,R2,0.26212403573775445,,,2843
overall,all,prob_gru,CoPy_R,R2,0.10714519415924872,,,2843
overall,all,seasonal,F_R,R2,0.4599116759969878,,,2843
overall,all,seasonal,CoPx_R,R2,-0.3693639436385565,,,2843
overall,all,seasonal,CoPy_R,R2,-0.721378521047302,,,2843
overall,all,ar,F_R,skill_vs_persistence,0.30162744384654894,,,2843
overall,all,ar,CoPx_R,skill_vs_persistence,0.454147455345682,,,2843
overall,all,ar,CoPy_R,skill_vs_persistence,0.4827435782656265,,,2843
overall,all,pg_cnn,F_R,skill_vs_persistence,0.2678769060103683,,,2843
overall,all,pg_cnn,CoPx_R,skill_vs_persistence,0.44073821289778126,,,2843
overall,all,pg_cnn,CoPy_R,skill_vs_persistence,0.43780687294814336,,,2843
overall,all,pg_flatten,F_R,skill_vs_persistence,0.22399225646224918,,,2843
overall,all,pg_flatten,CoPx_R,skill_vs_persistence,0.4223409551332302,,,2843
overall,all,pg_flatten,CoPy_R,skill_vs_persistence,0.4491318558385836,,,2843
overall,all,prob_gru,F_R,skill_vs_persistence,0.2904883260656297,,,2843
overall,all,prob_gru,CoPx_R,skill_vs_persistence,0.45173565210426314,,,2843
overall,all,prob_gru,CoPy_R,skill_vs_persistence,0.478016566835601,,,2843
overall,all,seasonal,F_R,skill_vs_persistence,-0.0870616622367153,,,2843
overall,all,seasonal,CoPx_R,skill_vs_persistence,-0.01747917801005716,,,2843
overall,all,seasonal,CoPy_R,skill_vs_persistence,-0.006357432713407496,,,2843
overall,all,ar,F_R,hausdorff,2.7659274537874845,,,2843
overall,all,ar,F_R,hausdorff_ratio_vs_persistence,0.8379370905897705,,,2843
overall,all,ar,CoPx_R,hausdorff,2.558258847916343,,,2843
overall,all,ar,CoPx_R,hausdorff_ratio_vs_persistence,0.8118439073975628,,,2843
overall,all,ar,CoPy_R,hausdorff,2.4184694415994086,,,2843
overall,all,ar,CoPy_R,hausdorff_ratio_vs_persistence,0.7876683074062258,,,2843
overall,all,persistence,F_R,hausdorff,3.3008772196021594,,,2843
overall,all,persistence,F_R,hausdorff_ratio_vs_persistence,1.0,,,2843
overall,all,persistence,CoPx_R,hausdorff,3.1511708403615013,,,2843
overall,all,persistence,CoPx_R,hausdorff_ratio_vs_persistence,1.0,,,2843
overall,all,persistence,CoPy_R,hausdorff,3.0704160861357677,,,2843
overall,all,persistence,CoPy_R,hausdorff_ratio_vs_persistence,1.0,,,2843
overall,all,pg_cnn,F_R,hausdorff,2.975037957025548,,,2843
overall,all,pg_cnn,F_R,hausdorff_ratio_vs_persistence,0.9012870698002262,,,2843
overall,all,pg_cnn,CoPx_R,hausdorff,2.704832652577689,,,2843
overall,all,pg_cnn,CoPx_R,hausdorff_ratio_vs_persistence,0.8583579848902738,,,2843
overall,all,pg_cnn,CoPy_R,hausdorff,2.663285696182331,,,2843
overall,all,pg_cnn,CoPy_R,hausdorff_ratio_vs_persistence,0.8674022091690429,,,2843
overall,all,pg_flatten,F_R,hausdorff,3.0132365763107996,,,2843
overall,all,pg_flatten,F_R,hausdorff_ratio_vs_persistence,0.9128593327909277,,,2843
overall,all,pg_flatten,CoPx_R,hausdorff,2.763905778867018,,,2843
overall,all,pg_flatten,CoPx_R,hausdorff_ratio_vs_persistence,0.8771043903636604,,,2843
overall,all,pg_flatten,CoPy_R,hausdorff,2.6366963571148214,,,2843
overall,all,pg_flatten,CoPy_R,hausdorff_ratio_vs_persistence,0.858742360366279,,,2843
overall,all,prob_gru,F_R,hausdorff,2.8825408991085926,,,2843
overall,all,prob_gru,F_R,hausdorff_ratio_vs_persistence,0.8732651072238345,,,2843
overall,all,prob_gru,CoPx_R,hausdorff,2.668582543092835,,,2843
overall,all,prob_gru,CoPx_R,hausdorff_ratio_vs_persistence,0.8468542894953598,,,2843
overall,all,prob_gru,CoPy_R,hausdorff,2.5655435649701785,,,2843
overall,all,prob_gru,CoPy_R,hausdorff_ratio_vs_persistence,0.8355686959023884,,,2843
overall,all,seasonal,F_R,hausdorff,2.698531291278206,,,2843
overall,all,seasonal,F_R,hausdorff_ratio_vs_persistence,0.8175194385459295,,,2843
overall,all,seasonal,CoPx_R,hausdorff,2.39553216173456,,,2843
overall,all,seasonal,CoPx_R,hausdorff_ratio_vs_persistence,0.7602038363174703,,,2843
overall,all,seasonal,CoPy_R,hausdorff,2.2261475507869344,,,2843
overall,all,seasonal,CoPy_R,hausdorff_ratio_vs_persistence,0.7250312297538225,,,2843
trait,smooth,ar,F_R,R2,0.6301668697766791,,,299
trait,smooth,ar,CoPx_R,R2,0.23439029577205217,,,299
trait,smooth,ar,CoPy_R,R2,0.1449161210791604,,,299
trait,abrupt,ar,F_R,R2,0.6550817372901291,,,2544
