model,channel,horizon_step,metric,value,n_frames,config_hash,exploratory,split,fold
persistence,F_R,1,MSE,10154865.721757231,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,1,MAE,2160.5600416323346,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,1,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,1,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,1,SS_vs_ar,-0.09820830994928875,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,2,MSE,24723053.14879223,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,2,MAE,3219.821544733076,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,2,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,2,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,2,SS_vs_ar,-0.13667229998970543,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,3,MSE,42622286.97033696,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,3,MAE,4073.2944186651634,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,3,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,3,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,3,SS_vs_ar,-0.13790734693123996,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,4,MSE,61918887.58640878,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,4,MAE,4828.425387050609,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,4,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,4,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,4,SS_vs_ar,-0.1283755158306632,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,5,MSE,80830588.49466586,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,5,MAE,5492.273017043237,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,5,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,5,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
