scope,subset,model,channel,metric,value,ci_lo,ci_hi,n_clips
overall,all,ar,F_R,R2,0.6530253282904547,,,2843
overall,all,ar,CoPx_R,R2,0.26536993645919116,,,2843
overall,all,ar,CoPy_R,R2,0.11523076662076626,,,2843
overall,all,cnn,F_R,R2,-1.815926826818905,,,2843
overall,all,cnn,CoPx_R,R2,-13.905034406482349,,,2843
overall,all,cnn,CoPy_R,R2,-4.212196890271618,,,2843
overall,all,flatten,F_R,R2,-1.815926826818905,,,2843
overall,all,flatten,CoPx_R,R2,-13.905034406482349,,,2843
overall,all,flatten,CoPy_R,R2,-4.212196890271618,,,2843
overall,all,map_aggregate,F_R,R2,0.6610635991091834,,,2843
overall,all,map_aggregate,CoPx_R,R2,0.24755972784036517,,,2843
overall,all,map_aggregate,CoPy_R,R2,0.10118706696681679,,,2843
overall,all,persistence,F_R,R2,0.5031668002238826,,,2843
overall,all,persistence,CoPx_R,R2,-0.34583977071324545,,,2843
overall,all,persistence,CoPy_R,R2,-0.7105041062855841,,,2843
overall,all,seasonal,F_R,R2,0.4599116759969878,,,2843
overall,all,seasonal,CoPx_R,R2,-0.3693639436385565,,,2843
overall,all,seasonal,CoPy_R,R2,-0.721378521047302,,,2843
overall,all,ar,F_R,skill_vs_persistence,0.30162744384654894,,,2843
overall,all,ar,CoPx_R,skill_vs_persistence,0.454147455345682,,,2843
overall,all,ar,CoPy_R,skill_vs_persistence,0.4827435782656265,,,2843
overall,all,cnn,F_R,skill_vs_persistence,-4.667750923424231,,,2843
overall,all,cnn,CoPx_R,skill_vs_persistence,-10.074895192451647,,,2843
overall,all,cnn,CoPy_R,skill_vs_persistence,-2.047170054207046,,,2843
overall,all,flatten,F_R,skill_vs_persistence,-4.667750923424231,,,2843
overall,all,flatten,CoPx_R,skill_vs_persistence,-10.074895192451647,,,2843
overall,all,flatten,CoPy_R,skill_vs_persistence,-2.047170054207046,,,2843
overall,all,map_aggregate,F_R,skill_vs_persistence,0.3178064568882517,,,2843
overall,all,map_aggregate,CoPx_R,skill_vs_persistence,0.440913927100795,,,2843
overall,all,map_aggregate,CoPy_R,skill_vs_persistence,0.474533308788726,,,2843
overall,all,seasonal,F_R,skill_vs_persistence,-0.0870616622367153,,,2843
overall,all,seasonal,CoPx_R,skill_vs_persistence,-0.01747917801005716,,,2843
overall,all,seasonal,CoPy_R,skill_vs_persistence,-0.006357432713407496,,,2843
trait,smooth,ar,F_R,R2,0.6301668697766791,,,299
trait,smooth,ar,CoPx_R,R2,0.23439029577205217,,,299
trait,smooth,ar,CoPy_R,R2,0.1449161210791604,,,299
trait,abrupt,ar,F_R,R2,0.6550817372901291,,,2544
trait,abrupt,ar,CoPx_R,R2,0.2677662465255982,,,2544
trait,abrupt,ar,CoPy_R,R2,0.11062023892450534,,,2544
trait,smooth,cnn,F_R,R2,-2.2201686168017316,,,299
trait,smooth,cnn,CoPx_R,R2,-16.313352431554456,,,299
trait,smooth,cnn,CoPy_R,R2,-3.8359708038557256,,,299
trait,abrupt,cnn,F_R,R2,-1.7750128192979906,,,2544
trait,abrupt,cnn,CoPx_R,R2,-13.6711606952686,,,2544
trait,abrupt,cnn,CoPy_R,R2,-4.262915337830296,,,2544
trait,smooth,flatten,F_R,R2,-2.2201686168017316,,,299
trait,smooth,flatten,CoPx_R,R2,-16.313352431554456,,,299
trait,smooth,flatten,CoPy_R,R2,-3.8359708038557256,,,299
trait,abrupt,flatten,F_R,R2,-1.7750128192979906,,,2544
trait,abrupt,flatten,CoPx_R,R2,-13.6711606952686,,,2544
trait,abrupt,flatten,CoPy_R,R2,-4.262915337830296,,,2544
trait,smooth,map_aggregate,F_R,R2,0.6433183018427617,,,299
trait,smooth,map_aggregate,CoPx_R,R2,0.22063354824219616,,,299
trait,smooth,map_aggregate,CoPy_R,R2,0.13257114362120292,,,299
trait,abrupt,map_aggregate,F_R,R2,0.6625647229072567,,,2544
trait,abrupt,map_aggregate,CoPx_R,R2,0.24951403421945428,,,2544
trait,abrupt,map_aggregate,CoPy_R,R2,0.0963597367332868,,,2544
trait,smooth,persistence,F_R,R2,0.4628130759388521,,,299
trait,smooth,persistence,CoPx_R,R2,-0.3832571321508276,,,299
trait,smooth,persistence,CoPy_R,R2,-0.6040335341393319,,,299
trait,abrupt,persistence,F_R,R2,0.5069556034591058,,,2544
trait,abrupt,persistence,CoPx_R,R2,-0.3434625368205304,,,2544
trait,abrupt,persistence,CoPy_R,R2,-0.7251599323799747,,,2544
trait,smooth,seasonal,F_R,R2,0.34605887004446867,,,299
trait,smooth,seasonal,CoPx_R,R2,-0.4344038902617986,,,299
trait,smooth,seasonal,CoPy_R,R2,-0.6292505290650316,,,299
trait,abrupt,seasonal,F_R,R2,0.47178143042290155,,,2544
trait,abrupt,seasonal,CoPx_R,R2,-0.36413802080224533,,,2544
trait,abrupt,seasonal,CoPy_R,R2,-0.7343702519301776,,,2544
trait,delta,ar,F_R,dR2,-0.024914867513449956,-0.10228951362853603,0.04799672824333532,2843
trait,delta,ar,CoPx_R,dR2,-0.033375950753546046,-0.10908879134253097,0.030809001670878258,2843
trait,delta,ar,CoPy_R,dR2,0.034295882154655066,-0.008941431659103072,0.07485880123259434,2843
trait,delta,cnn,F_R,dR2,-0.445155797503741,-0.8230566057939455,-0.13326973166328335,2843
trait,delta,cnn,CoPx_R,dR2,-2.642191736285856,-6.257547733010687,0.17461458941906485,2843
trait,delta,cnn,CoPy_R,dR2,0.4269445339745701,-0.13983942078544037,0.9281975671280246,2843
trait,delta,flatten,F_R,dR2,-0.445155797503741,-0.8230566057939455,-0.13326973166328335,2843
